"rules","support","confidence","lift","count"
"{主队=多  特,澳门盘口=球半} => {大小=小}",0.0189125295508274,1,2.22631578947368,8
"{客队=达姆施,澳门盘口=半球/一球} => {大小=小}",0.0189125295508274,1,2.22631578947368,8
"{主队=多  特,澳门盘口=一球/球半} => {大小=大}",0.0141843971631206,1,1.82327586206897,6
"{客队=弗赖堡,澳门盘口=半球} => {大小=大}",0.016548463356974,1,1.82327586206897,7
"{客队=不来梅,澳门盘口=平手/半球} => {大小=大}",0.0189125295508274,1,1.82327586206897,8
"{主队=拜  仁,澳门盘口=一球/球半} => {大小=大}",0.016548463356974,1,1.82327586206897,7
"{客队=沙尔克,澳门盘口=受平手/半球} => {大小=大}",0.0118203309692671,1,1.82327586206897,5
"{主队=勒  沃,澳门盘口=平手/半球} => {大小=大}",0.0118203309692671,1,1.82327586206897,5
"{客队=赫  塔,澳门盘口=半球/一球} => {大小=小}",0.0141843971631206,1,2.22631578947368,6
"{赛事=德甲,主队=不来梅,澳门盘口=受平手/半球} => {大小=大}",0.0141843971631206,1,1.82327586206897,6
"{时间=2017/1/28} => {大小=大}",0.0212765957446809,0.9,1.64094827586207,9
"{时间=2016/12/10} => {大小=小}",0.0189125295508274,0.888888888888889,1.97894736842105,8
"{主队=达姆施,澳门盘口=受半球} => {大小=大}",0.0189125295508274,0.888888888888889,1.62068965517241,8
"{澳门盘口=两球} => {主队=拜  仁}",0.016548463356974,0.875,12.7629310344828,7
"{主队=沙尔克,澳门盘口=半球} => {大小=小}",0.016548463356974,0.875,1.94802631578947,7
"{平均欧指胜=1.28} => {主队=多  特}",0.0141843971631206,0.857142857142857,15.7639751552795,6
"{主队=不来梅,澳门盘口=受平手/半球} => {大小=大}",0.0141843971631206,0.857142857142857,1.5628078817734,6
"{客队=科  隆,澳门盘口=平手/半球} => {大小=大}",0.0141843971631206,0.857142857142857,1.5628078817734,6
"{客队=奥格斯,澳门盘口=半球} => {大小=小}",0.0141843971631206,0.857142857142857,1.90827067669173,6
"{平均欧指平=3.42} => {大小=大}",0.0118203309692671,0.833333333333333,1.51939655172414,5
"{平均欧指平=3.24} => {大小=小}",0.0118203309692671,0.833333333333333,1.85526315789474,5
"{澳门盘口=受两球} => {客队=拜  仁}",0.0118203309692671,0.833333333333333,14.6875,5
"{平均欧指胜=2.35} => {大小=小}",0.0118203309692671,0.833333333333333,1.85526315789474,5
"{时间=2017/4/1} => {大小=大}",0.0236406619385343,0.833333333333333,1.51939655172414,10
"{赛事=德国杯,主队=拜  仁} => {大小=大}",0.0118203309692671,0.833333333333333,1.51939655172414,5
"{比分=0:0
                                                                                    	 (0:0),澳门盘口=平手/半球} => {盘路=赢半}",0.0118203309692671,0.833333333333333,16.0227272727273,5
"{时间=2017/2/25} => {大小=大}",0.0212765957446809,0.818181818181818,1.49177115987461,9
"{赛事=德甲,澳门盘口=一球/球半} => {大小=大}",0.0378250591016548,0.8,1.45862068965517,16
